F:\env\Python37\python.exe F:/machinelearning/vision/need-for-auto-speed/percept/speed-estimate/speedmeter_estimate.py
2020-06-21 23:33:05,341 INFO 76 using device: cuda
2020-06-21 23:33:06,916 INFO 79 dataset init finished with size: 139
2020-06-21 23:33:23,615 INFO 92 epoch 19, batch 1, MAELoss = 0.7636604905128479 (label: [118, 150, 125, 132], predict: [690, 438, 685, 733])
2020-06-21 23:33:24,327 INFO 92 epoch 20, batch 0, MAELoss = 0.7333916425704956 (label: [116, 132, 125, 151], predict: [216, 216, 990, 612])
2020-06-21 23:33:24,406 INFO 92 epoch 20, batch 1, MAELoss = 0.7063568830490112 (label: [43, 96, 119, 71], predict: [846, 590, 289, 318])
2020-06-21 23:33:25,126 INFO 92 epoch 21, batch 0, MAELoss = 0.7340800166130066 (label: [145, 156, 208, 163], predict: [461, 485, 630, 574])
2020-06-21 23:33:25,198 INFO 92 epoch 21, batch 1, MAELoss = 0.7322487235069275 (label: [40, 151, 122, 150], predict: [90, 462, 231, 686])
2020-06-21 23:33:25,906 INFO 92 epoch 22, batch 0, MAELoss = 0.7265331149101257 (label: [70, 141, 67, 142], predict: [833, 448, 727, 219])
2020-06-21 23:33:25,979 INFO 92 epoch 22, batch 1, MAELoss = 0.7335748076438904 (label: [168, 110, 153, 144], predict: [564, 590, 111, 421])
2020-06-21 23:33:26,722 INFO 92 epoch 23, batch 0, MAELoss = 0.7237961888313293 (label: [184, 148, 155, 67], predict: [886, 454, 585, 707])
2020-06-21 23:33:26,808 INFO 92 epoch 23, batch 1, MAELoss = 0.7105087041854858 (label: [120, 180, 126, 151], predict: [989, 579, 635, 288])
2020-06-21 23:33:27,578 INFO 92 epoch 24, batch 0, MAELoss = 0.7269474267959595 (label: [150, 213, 100, 40], predict: [495, 731, 690, 839])
2020-06-21 23:33:27,656 INFO 92 epoch 24, batch 1, MAELoss = 0.732393741607666 (label: [126, 141, 71, 235], predict: [137, 689, 710, 595])
2020-06-21 23:33:28,423 INFO 92 epoch 25, batch 0, MAELoss = 0.7222830057144165 (label: [151, 20, 45, 180], predict: [218, 701, 890, 473])
2020-06-21 23:33:28,507 INFO 92 epoch 25, batch 1, MAELoss = 0.724358320236206 (label: [43, 86, 156, 64], predict: [8, 998, 449, 46])
2020-06-21 23:33:29,223 INFO 92 epoch 26, batch 0, MAELoss = 0.7192893624305725 (label: [91, 184, 136, 154], predict: [998, 154, 553, 553])
2020-06-21 23:33:29,300 INFO 92 epoch 26, batch 1, MAELoss = 0.7366276383399963 (label: [142, 138, 49, 136], predict: [462, 590, 91, 125])
2020-06-21 23:33:30,021 INFO 92 epoch 27, batch 0, MAELoss = 0.7172561883926392 (label: [0, 85, 166, 180], predict: [1, 425, 64, 434])
